CustomerID,InvoiceNo,InvoiceDate,MonetaryValue,AverageOrderValue,Country,OrderValue
12421,563518,2011-08-17 10:56:00,628.56,0.03,31,231.76
12421,578339,2011-11-24 09:07:00,807.04,0.04,31,178.48
12422,541520,2011-01-19 09:13:00,238.5,0.01,0,238.5
12422,558041,2011-06-24 13:20:00,655.86,0.04,33,417.36
12422,565466,2011-09-05 09:48:00,803.56,0.04,0,147.7
12423,539676,2010-12-21 10:54:00,237.93,0.01,3,237.93
12423,544474,2011-02-21 09:52:00,430.24,0.02,3,192.31
12423,547109,2011-03-21 11:46:00,777.59,0.04,3,347.35
12423,549249,2011-04-07 12:04:00,1032.95,0.06,3,255.36
12423,554147,2011-05-23 10:48:00,1366.77,0.07,3,333.82
12423,555161,2011-06-01 09:26:00,1451.69,0.08,3,84.92
12423,564853,2011-08-31 08:55:00,1650.67,0.09,3,198.98
12423,581493,2011-12-09 10:10:00,1859.31,0.1,3,208.64
12424,558536,2011-06-30 12:06:00,1466.32,0.08,0,1466.32
12424,558537,2011-06-30 12:06:00,1760.96,0.1,0,294.64
12425,567929,2011-09-22 17:31:00,777.2,0.04,27,777.2
12426,554985,2011-05-29 12:26:00,582.73,0.03,14,582.73
12427,536861,2010-12-03 10:44:00,303.5,0.02,14,303.5
12427,570452,2011-10-10 15:15:00,586.08,0.03,14,282.58
12427,577135,2011-11-18 08:56:00,825.8,0.04,14,239.72
12428,545226,2011-03-01 09:33:00,1943.4,0.1,12,1943.4
12428,545227,2011-03-01 09:35:00,4418.02,0.24,12,2474.62
12428,545336,2011-03-01 16:53:00,4969.22,0.27,12,551.2
12428,547086,2011-03-20 15:46:00,5378.42,0.29,12,409.2
12428,548363,2011-03-30 15:48:00,5936.82,0.32,12,558.4
12428,549588,2011-04-11 10:04:00,6310.54,0.34,12,373.72
12428,559004,2011-07-05 12:23:00,6942.98,0.37,12,632.44
12428,563020,2011-08-11 12:58:00,7548.12,0.41,12,605.14
12428,576082,2011-11-14 08:22:00,7956.46,0.43,12,408.34
12429,538003,2010-12-09 12:05:00,1281.5,0.07,9,1281.5
12429,551054,2011-04-26 11:44:00,1719.48,0.09,1,437.98
12429,557427,2011-06-20 12:14:00,2844.88,0.15,9,1125.4
12429,579881,2011-11-30 17:22:00,3750.4,0.2,9,905.52
12430,573108,2011-10-27 15:09:00,256.4,0.01,25,256.4
12431,536389,2010-12-01 10:03:00,358.25,0.02,0,358.25
12431,539419,2010-12-17 14:10:00,773.95,0.04,0,415.7
12431,542542,2011-01-28 14:37:00,1158.63,0.06,0,384.68
12431,544193,2011-02-17 08:23:00,1798.73,0.1,3,640.1
12431,545065,2011-02-27 14:43:00,2211.28,0.12,0,412.55
12431,552956,2011-05-12 12:34:00,2686.44,0.14,0,475.16
12431,554126,2011-05-23 09:14:00,3158.53,0.17,0,472.09
12431,560473,2011-07-19 10:42:00,3641.55,0.2,0,483.02
12431,561040,2011-07-24 12:05:00,4147.01,0.22,0,505.46
12431,561228,2011-07-26 10:16:00,4265.81,0.23,0,118.8
12431,563179,2011-08-12 14:19:00,4874.57,0.26,0,608.76
12431,569722,2011-10-06 09:31:00,5463.53,0.29,0,588.96
12431,569723,2011-10-06 09:32:00,5553.33,0.3,0,89.8
12431,570446,2011-10-10 14:49:00,5886.01,0.32,3,332.68
12431,574469,2011-11-04 11:55:00,6487.45,0.35,0,601.44
12432,557472,2011-06-20 13:27:00,2862.06,0.15,25,2862.06
12432,557474,2011-06-20 13:29:00,3316.66,0.18,25,454.6
12432,557754,2011-06-22 13:12:00,4016.66,0.22,25,700.0
12432,573195,2011-10-28 11:40:00,4994.72,0.27,25,978.06
12432,573200,2011-10-28 11:43:00,5059.32,0.27,25,64.6
12433,536532,2010-12-01 13:24:00,1919.14,0.1,25,1919.14
12433,537868,2010-12-08 16:49:00,3787.12,0.2,25,1867.98
12433,566195,2011-09-09 13:44:00,6395.23,0.35,25,2608.11
12433,573035,2011-10-27 13:43:00,7893.89,0.43,25,1498.66
12433,579692,2011-11-30 14:05:00,10737.18,0.58,25,2843.29
12433,581476,2011-12-09 08:48:00,13356.07,0.72,25,2618.89
12433,581491,2011-12-09 10:02:00,13375.87,0.72,25,19.8
12434,547659,2011-03-24 13:05:00,286.25,0.02,0,286.25
12434,567085,2011-09-16 12:38:00,806.14,0.04,0,519.89
12435,546780,2011-03-17 07:40:00,3978.99,0.21,9,3978.99
12435,567526,2011-09-21 09:06:00,7829.89,0.42,9,3850.9
12436,565124,2011-09-01 12:09:00,509.01,0.03,25,509.01
12437,540972,2011-01-12 14:13:00,392.7,0.02,13,392.7
12437,543030,2011-02-02 15:22:00,543.2,0.03,13,150.5
12437,544817,2011-02-23 16:44:00,887.2,0.05,13,344.0
12437,544818,2011-02-23 16:45:00,982.96,0.05,13,95.76
12437,546765,2011-03-16 14:37:00,1130.67,0.06,13,147.71
12437,551389,2011-04-28 11:45:00,1339.77,0.07,13,209.1
12437,553577,2011-05-18 10:34:00,1707.97,0.09,13,368.2
12437,554555,2011-05-25 10:08:00,1975.09,0.11,13,267.12
12437,556816,2011-06-15 09:01:00,2476.73,0.13,13,501.64
12437,565321,2011-09-02 13:14:00,2746.31,0.15,13,269.58
12437,565322,2011-09-02 13:15:00,2811.41,0.15,13,65.1
12437,567910,2011-09-22 16:58:00,3034.01,0.16,13,222.6
12437,573036,2011-10-27 13:44:00,3297.47,0.18,13,263.46
12437,574093,2011-11-03 09:43:00,4034.02,0.22,13,736.55
12437,574252,2011-11-03 13:24:00,4294.5,0.23,13,260.48
12437,577344,2011-11-18 15:14:00,4493.1,0.24,13,198.6
12437,579870,2011-11-30 16:47:00,4785.51,0.26,13,292.41
12437,581279,2011-12-08 11:35:00,4951.41,0.27,13,165.9
12438,560991,2011-07-22 13:29:00,890.07,0.05,25,890.07
12438,578811,2011-11-25 13:28:00,2906.85,0.16,25,2016.78
12441,537693,2010-12-08 10:45:00,173.55,0.01,13,173.55
12442,580955,2011-12-06 14:22:00,172.06,0.01,31,172.06
12444,557621,2011-06-21 14:00:00,1870.2,0.1,25,1870.2
12444,562844,2011-08-10 08:41:00,2627.27,0.14,25,757.07
12444,566773,2011-09-15 09:43:00,3189.81,0.17,25,562.54
12444,570793,2011-10-12 12:08:00,4068.82,0.22,25,879.01
12444,577314,2011-11-18 13:23:00,5005.46,0.27,25,936.64
12445,577125,2011-11-17 18:43:00,133.4,0.01,31,133.4
12446,571035,2011-10-13 12:50:00,1002.31,0.05,28,1002.31
12447,549559,2011-04-10 13:25:00,476.49,0.03,3,476.49
12448,572886,2011-10-26 13:46:00,449.45,0.02,31,449.45
12449,555572,2011-06-05 15:37:00,858.93,0.05,3,858.93
12449,562034,2011-08-02 09:14:00,1636.88,0.09,3,777.95
12449,566076,2011-09-09 09:13:00,2724.58,0.15,3,1087.7
12449,577046,2011-11-17 13:46:00,4067.29,0.22,3,1342.71
12450,557303,2011-06-19 14:36:00,101.88,0.01,31,101.88
12450,559148,2011-07-06 14:41:00,197.88,0.01,31,96.0
12451,541518,2011-01-19 09:05:00,2919.51,0.16,33,2919.51
12451,552013,2011-05-05 17:34:00,5307.82,0.29,33,2388.31
12451,569653,2011-10-05 12:52:00,7847.38,0.42,33,2539.56
12451,577157,2011-11-18 09:58:00,8773.02,0.47,33,925.64
12451,579259,2011-11-29 08:40:00,9035.52,0.49,33,262.5
12452,578099,2011-11-23 08:05:00,350.57,0.02,33,350.57
12452,578123,2011-11-23 10:28:00,430.57,0.02,33,80.0
12453,561627,2011-07-28 14:08:00,707.09,0.04,1,707.09
12454,571255,2011-10-14 17:13:00,3528.34,0.19,31,3528.34
12455,544097,2011-02-16 09:56:00,1683.9,0.09,7,1683.9
12455,544331,2011-02-17 17:05:00,1698.9,0.09,7,15.0
12455,555470,2011-06-03 11:33:00,1963.3,0.11,31,264.4
12455,559135,2011-07-06 13:18:00,2097.8,0.11,31,134.5
12455,562287,2011-08-04 11:07:00,2176.36,0.12,31,78.56
12455,568554,2011-09-27 15:31:00,2466.86,0.13,31,290.5
12456,548212,2011-03-30 09:12:00,940.17,0.05,33,940.17
12456,561898,2011-07-31 15:25:00,2265.4,0.12,33,1325.23
12456,572896,2011-10-26 14:41:00,3181.04,0.17,33,915.64
12457,550188,2011-04-14 18:57:00,669.25,0.04,33,669.25
12457,550281,2011-04-15 13:48:00,888.25,0.05,33,219.0
12457,550671,2011-04-20 10:10:00,1067.25,0.06,33,179.0
12457,566756,2011-09-14 15:54:00,1810.53,0.1,33,743.28
12457,566916,2011-09-15 14:25:00,1970.53,0.11,33,160.0
12457,567188,2011-09-19 09:04:00,2166.88,0.12,7,196.35
12457,569489,2011-10-04 13:13:00,2363.23,0.13,7,196.35
12458,545084,2011-02-28 10:55:00,441.92,0.02,33,441.92
12458,568950,2011-09-29 15:25:00,947.4,0.05,33,505.48
12461,559372,2011-07-08 10:23:00,626.88,0.03,33,626.88
12461,565785,2011-09-06 16:57:00,826.88,0.04,33,200.0
12462,543541,2011-02-09 14:44:00,762.11,0.04,31,762.11
12462,577606,2011-11-21 09:11:00,1189.59,0.06,31,427.48
12463,549825,2011-04-12 12:47:00,350.57,0.02,3,350.57
12463,553415,2011-05-17 10:02:00,647.95,0.03,3,297.38
12463,557232,2011-06-17 14:28:00,985.79,0.05,3,337.84
12463,571445,2011-10-17 13:44:00,1344.78,0.07,3,358.99
12464,543117,2011-02-03 13:30:00,213.9,0.01,3,213.9
12464,545140,2011-02-28 12:08:00,363.85,0.02,3,149.95
12464,554159,2011-05-23 11:48:00,510.85,0.03,3,147.0
12464,554161,2011-05-23 11:49:00,544.85,0.03,3,34.0
12464,559890,2011-07-13 11:58:00,590.45,0.03,3,45.6
12464,564481,2011-08-25 13:33:00,780.55,0.04,3,190.1
12464,577087,2011-11-17 15:55:00,930.15,0.05,3,149.6
12464,579441,2011-11-29 13:33:00,1212.05,0.07,3,281.9
12465,557885,2011-06-23 13:37:00,440.94,0.02,3,440.94
12465,578084,2011-11-22 16:34:00,742.19,0.04,3,301.25
12468,542371,2011-01-27 13:29:00,220.59,0.01,14,220.59
12468,555523,2011-06-05 11:36:00,729.54,0.04,14,508.95
12471,538174,2010-12-10 09:35:00,1982.41,0.11,14,1982.41
12471,538175,2010-12-10 09:48:00,2360.41,0.13,14,378.0
12471,539395,2010-12-17 11:52:00,3844.66,0.21,14,1484.25
12471,539398,2010-12-17 11:53:00,3874.36,0.21,14,29.7
12471,541093,2011-01-13 13:21:00,4627.81,0.25,14,753.45
12471,543056,2011-02-03 10:47:00,5575.21,0.3,14,947.4
12471,544811,2011-02-23 15:53:00,5963.51,0.32,14,388.3
12471,546920,2011-03-18 09:55:00,6808.83,0.37,14,845.32
12471,546921,2011-03-18 09:57:00,6841.83,0.37,14,33.0
12471,548745,2011-04-04 12:10:00,7466.12,0.4,14,624.29
12471,548746,2011-04-04 12:11:00,7516.12,0.41,14,50.0
12471,553037,2011-05-13 08:10:00,8290.72,0.45,14,774.6
12471,553038,2011-05-13 08:11:00,8397.32,0.45,14,106.6
12471,558841,2011-07-04 11:59:00,8427.32,0.45,14,30.0
12471,559298,2011-07-07 12:38:00,9166.96,0.49,14,739.64
12471,559300,2011-07-07 12:40:00,9375.58,0.51,14,208.62
12471,563950,2011-08-22 10:39:00,10502.6,0.57,14,1127.02
12471,564309,2011-08-24 12:39:00,10586.18,0.57,14,83.58
12471,564360,2011-08-24 16:13:00,11116.4,0.6,14,530.22
12471,566984,2011-09-16 10:39:00,11556.9,0.62,14,440.5
12471,567924,2011-09-22 17:25:00,11780.16,0.64,14,223.26
12471,569639,2011-10-05 12:24:00,12020.16,0.65,14,240.0
12471,569640,2011-10-05 12:25:00,14165.54,0.76,14,2145.38
12471,574097,2011-11-03 09:56:00,14891.26,0.8,14,725.72
12471,576909,2011-11-17 09:49:00,15963.38,0.86,14,1072.12
12471,578333,2011-11-24 08:50:00,16296.34,0.88,14,332.96
12471,578469,2011-11-24 12:36:00,16886.66,0.91,14,590.32
12471,579416,2011-11-29 13:00:00,17491.52,0.94,14,604.86
12471,579419,2011-11-29 13:01:00,17585.54,0.95,14,94.02
12471,581179,2011-12-07 15:43:00,19824.05,1.07,14,2238.51
12472,537201,2010-12-05 14:19:00,1631.3,0.09,14,1631.3
12472,542215,2011-01-26 12:27:00,2456.66,0.13,14,825.36
12472,546843,2011-03-17 12:40:00,3048.84,0.16,14,592.18
12472,556578,2011-06-13 14:13:00,4315.5,0.23,14,1266.66
12472,561037,2011-07-24 11:55:00,4927.6,0.27,14,612.1
12472,571824,2011-10-19 11:49:00,6304.03,0.34,14,1376.43
12472,574885,2011-11-07 14:01:00,6572.11,0.35,14,268.08
12473,555162,2011-06-01 10:15:00,672.19,0.04,14,672.19
12473,563540,2011-08-17 12:04:00,1186.25,0.06,14,514.06
12473,571328,2011-10-17 11:27:00,2884.23,0.16,14,1697.98
12473,575632,2011-11-10 13:44:00,3898.09,0.21,14,1013.86
12473,575636,2011-11-10 13:46:00,3938.55,0.21,14,40.46
12474,541125,2011-01-14 10:06:00,47.5,0.0,14,47.5
12474,541224,2011-01-14 14:45:00,249.4,0.01,14,201.9
12474,542229,2011-01-26 13:38:00,599.8,0.03,14,350.4
12474,544996,2011-02-25 11:53:00,887.38,0.05,14,287.58
12474,547005,2011-03-18 14:20:00,1693.85,0.09,14,806.47
12474,547934,2011-03-28 14:07:00,1951.05,0.11,14,257.2
12474,553547,2011-05-17 15:48:00,2711.33,0.15,14,760.28
12474,554263,2011-05-23 12:32:00,2719.13,0.15,14,7.8
12474,557569,2011-06-21 10:46:00,3146.89,0.17,14,427.76
12474,558109,2011-06-26 15:36:00,3191.14,0.17,14,44.25
12474,559710,2011-07-12 10:25:00,3382.74,0.18,14,191.6
12474,561094,2011-07-25 10:04:00,3896.38,0.21,14,513.64
12474,565261,2011-09-02 10:53:00,4362.06,0.24,14,465.68
12474,570640,2011-10-11 12:38:00,4884.42,0.26,14,522.36
12474,571312,2011-10-17 10:42:00,5456.65,0.29,14,572.23
12474,572061,2011-10-20 12:53:00,6197.06,0.33,14,740.41
12474,576607,2011-11-15 15:42:00,6959.62,0.38,14,762.56
12474,578043,2011-11-22 14:39:00,7375.79,0.4,14,416.17
12475,571308,2011-10-17 10:10:00,723.38,0.04,14,723.38
12476,538644,2010-12-13 14:39:00,12.45,0.0,14,12.45
12476,542648,2011-01-31 11:46:00,562.03,0.03,14,549.58
12476,543833,2011-02-14 10:24:00,722.23,0.04,14,160.2
12476,550527,2011-04-19 10:48:00,2133.9,0.12,14,1411.67
12476,552008,2011-05-05 17:13:00,2445.1,0.13,14,311.2
12476,560901,2011-07-21 17:39:00,3191.67,0.17,14,746.57
12476,566987,2011-09-16 10:56:00,3725.27,0.2,14,533.6
12476,572559,2011-10-25 08:44:00,4174.15,0.23,14,448.88
