CustomerID,Frequency,Recency,MonetaryValue,AverageOrderValue,TotalQuantity,Customer_Status
12653,2,149,2209.85,1104.92,919,Inactive
12654,5,11,601.98,120.4,264,Loyal
12656,5,17,4051.17,810.23,1723,VIP
12657,3,11,1152.06,384.02,654,New
12658,1,19,686.05,686.05,320,Inactive
12659,1,30,91.68,91.68,105,Inactive
12660,1,11,245.1,245.1,127,New
12662,11,1,3849.78,349.98,2058,Loyal
12664,9,8,4881.88,542.43,1203,VIP
12665,1,325,63.0,63.0,37,Inactive
12667,1,58,620.13,620.13,395,Inactive
12668,4,12,3807.15,951.79,1634,New
12669,2,151,1607.73,803.86,267,Inactive
12670,5,10,2996.05,599.21,1397,VIP
12672,1,330,225.9,225.9,78,Inactive
12673,2,5,610.52,305.26,351,New
12674,4,39,1970.6,492.65,1133,Inactive
12676,6,25,1331.39,221.9,670,Risk
12678,12,42,17628.46,1469.04,10923,Risk
12679,4,59,1113.02,278.26,554,Inactive
12680,4,1,862.81,215.7,443,New
12681,22,15,13787.54,626.71,7536,VIP
12682,31,4,12288.22,396.39,5575,Loyal
12683,15,4,8476.57,565.1,4987,VIP
12684,7,8,2283.63,326.23,1985,Loyal
12685,6,28,2863.08,477.18,1523,Risk
12686,1,372,89.14,89.14,107,Inactive
12688,1,114,4873.81,4873.81,3028,Inactive
12689,2,26,1247.61,623.8,628,Inactive
12690,1,206,389.01,389.01,106,Inactive
12691,6,28,1035.8,172.63,394,Risk
12693,4,127,855.91,213.98,255,Inactive
12694,2,70,869.67,434.84,509,Inactive
12695,4,7,582.1,145.52,220,New
12697,3,29,957.59,319.2,508,Inactive
12700,4,8,4939.99,1235.0,2967,New
12701,2,80,797.71,398.86,678,Inactive
12702,1,20,219.0,219.0,53,Inactive
12703,1,71,283.55,283.55,164,Inactive
12704,8,7,2340.84,292.6,1006,Loyal
12705,9,15,6868.29,763.14,3997,VIP
12707,1,292,603.42,603.42,256,Inactive
12708,10,30,2712.91,271.29,1307,Risk
12709,15,15,9736.52,649.1,3936,VIP
12710,3,97,1149.02,383.01,851,Inactive
12712,13,29,4396.13,338.16,1062,Risk
12713,1,1,848.55,848.55,508,New
12714,5,9,4708.86,941.77,3069,VIP
12715,1,106,353.86,353.86,197,Inactive
12716,2,4,1053.49,526.74,708,New
12717,2,151,1030.98,515.49,506,Inactive
12718,1,71,238.25,238.25,203,Inactive
12719,2,5,644.95,322.48,374,New
12720,25,3,5781.73,231.27,4672,Loyal
12721,6,32,2656.13,442.69,1959,Risk
12722,4,85,997.63,249.41,566,Inactive
12723,5,4,725.07,145.01,434,Loyal
12724,4,5,1031.41,257.85,445,New
12725,1,371,427.8,427.8,164,Inactive
12726,7,28,2609.1,372.73,3143,Risk
12727,7,11,3980.7,568.67,2098,VIP
12728,4,71,836.33,209.08,419,Inactive
12729,1,114,453.01,453.01,233,Inactive
12731,12,24,18895.91,1574.66,8437,Risk
12732,1,180,236.26,236.26,111,Inactive
12733,1,234,383.95,383.95,137,Inactive
12734,1,353,110.4,110.4,88,Inactive
12735,2,315,779.57,389.78,368,Inactive
12736,1,333,234.0,234.0,173,Inactive
12738,1,372,155.35,155.35,148,Inactive
12739,2,78,1013.04,506.52,486,Inactive
12740,1,64,427.6,427.6,342,Inactive
12743,2,134,546.43,273.22,319,Inactive
12744,5,52,15188.45,3037.69,4146,Risk
12747,11,2,4196.01,381.46,1275,Loyal
12748,204,1,31280.7,153.34,22843,Loyal
12749,5,4,4090.88,818.18,1471,VIP
12750,1,129,275.88,275.88,137,Inactive
12752,1,81,4366.78,4366.78,2262,Inactive
12753,6,23,21429.39,3571.56,11421,Risk
12754,1,236,2949.12,2949.12,6432,Inactive
12755,1,366,3794.4,3794.4,1488,Inactive
12756,1,87,112.08,112.08,144,Inactive
12757,10,16,5499.68,549.97,2399,VIP
12758,2,117,2791.59,1395.8,2135,Inactive
12759,3,52,1531.44,510.48,902,Inactive
12762,2,8,1898.52,949.26,1227,New
12763,2,138,494.08,247.04,316,Inactive
12764,1,317,1693.88,1693.88,386,Inactive
12766,7,4,6989.63,998.52,3646,VIP
12769,1,239,1143.6,1143.6,356,Inactive
12770,1,211,1351.45,1351.45,743,Inactive
12772,1,60,892.47,892.47,556,Inactive
12775,5,17,1386.04,277.21,877,Loyal
12778,6,20,822.23,137.04,825,Risk
12779,8,38,3981.36,497.67,2024,Risk
12781,2,64,826.74,413.37,671,Inactive
12782,5,5,2330.92,466.18,1086,VIP
12783,4,2,1603.87,400.97,447,New
12784,2,9,574.42,287.21,300,New
12785,1,364,311.95,311.95,131,Inactive
12787,3,10,463.66,154.55,261,New
12789,1,65,91.85,91.85,4,Inactive
12790,1,192,324.92,324.92,166,Inactive
12791,1,374,192.6,192.6,97,Inactive
12792,1,257,400.54,400.54,217,Inactive
12793,2,335,545.48,272.74,295,Inactive
12794,2,53,860.41,430.2,592,Inactive
12795,1,19,430.48,430.48,68,Inactive
12797,1,366,254.03,254.03,118,Inactive
12798,3,10,6977.04,2325.68,5256,New
12802,1,187,427.58,427.58,314,Inactive
12808,3,37,483.65,161.22,188,Inactive
12809,1,178,489.31,489.31,220,Inactive
12811,3,261,514.85,171.62,230,Inactive
12812,1,45,229.64,229.64,164,Inactive
12814,1,102,125.92,125.92,49,Inactive
12815,2,148,1063.46,531.73,379,Inactive
12816,2,96,572.2,286.1,128,Inactive
12817,1,281,166.04,166.04,53,Inactive
12818,1,262,1542.08,1542.08,929,Inactive
12820,4,3,942.34,235.58,722,New
12821,1,214,92.72,92.72,70,Inactive
12822,2,71,948.88,474.44,550,Inactive
12823,5,75,1759.5,351.9,230,Risk
12824,1,60,397.12,397.12,232,Inactive
12826,7,3,1474.72,210.67,1058,Loyal
12827,3,6,430.15,143.38,197,New
12828,6,3,1018.71,169.78,494,Loyal
12829,2,337,293.0,146.5,376,Inactive
12830,6,38,6814.64,1135.77,9848,Risk
12831,1,262,215.05,215.05,135,Inactive
12832,2,32,383.03,191.52,195,Inactive
12833,1,145,417.38,417.38,156,Inactive
12834,1,283,312.38,312.38,110,Inactive
12836,4,59,2612.86,653.22,1064,Inactive
12837,1,173,134.1,134.1,24,Inactive
12838,2,34,683.13,341.57,359,Inactive
12839,14,3,5591.42,399.39,3807,Loyal
12840,4,144,2726.77,681.69,1511,Inactive
12841,25,5,4022.35,160.89,2757,Loyal
12842,2,70,1118.99,559.5,547,Inactive
12843,8,66,1702.26,212.78,781,Risk
12844,2,29,325.96,162.98,125,Inactive
12845,4,267,354.09,88.52,204,Inactive
12847,1,22,871.54,871.54,909,Inactive
12849,2,31,1050.89,525.44,623,Inactive
12851,1,97,135.18,135.18,109,Inactive
12852,1,295,311.55,311.55,149,Inactive
12853,6,135,1957.1,326.18,800,Risk
12854,3,79,1324.5,441.5,627,Inactive
12855,1,373,38.1,38.1,30,Inactive
12856,6,8,2179.93,363.32,1079,Loyal
12857,2,211,1106.4,553.2,343,Inactive
12863,1,52,521.2,521.2,188,Inactive
12864,1,138,147.12,147.12,216,Inactive
12865,2,26,1568.23,784.12,925,Inactive
12866,1,283,559.12,559.12,171,Inactive
12867,7,26,4036.82,576.69,4298,Risk
12868,6,186,1607.06,267.84,928,Risk
12871,2,84,380.64,190.32,200,Inactive
12872,2,327,599.97,299.98,319,Inactive
12873,1,282,374.0,374.0,128,Inactive
12875,2,143,343.23,171.62,2019,Inactive
12876,2,58,2218.02,1109.01,1941,Inactive
12877,12,4,1535.77,127.98,1178,Loyal
12878,2,236,854.99,427.5,547,Inactive
12879,3,45,573.22,191.07,370,Inactive
12881,1,276,298.0,298.0,21,Inactive
12882,2,9,1463.04,731.52,246,New
12883,4,25,703.47,175.87,196,Inactive
12884,1,88,309.05,309.05,43,Inactive
12885,3,63,1175.22,391.74,655,Inactive
12886,2,68,1378.4,689.2,770,Inactive
12888,2,214,354.12,177.06,76,Inactive
12890,1,24,380.47,380.47,259,Inactive
12891,3,186,331.0,110.33,950,Inactive
12893,1,31,188.14,188.14,96,Inactive
12895,2,42,372.8,186.4,210,Inactive
12897,2,205,216.5,108.25,110,Inactive
12901,27,9,17348.54,642.54,22715,VIP
12902,1,265,138.68,138.68,66,Inactive
12904,2,18,509.58,254.79,302,New
12906,5,12,2919.81,583.96,1749,VIP
12908,2,176,750.0,375.0,1200,Inactive
12909,5,40,2178.67,435.73,1280,Risk
12910,8,23,3075.04,384.38,1692,Risk
12912,5,3,1662.3,332.46,670,Loyal
12913,5,5,2483.63,496.73,1419,VIP
12915,2,149,363.65,181.82,93,Inactive
12916,4,139,3006.15,751.54,1119,Inactive
12917,1,128,594.0,594.0,120,Inactive
12919,6,8,1335.19,222.53,673,Loyal
12920,1,17,164.23,164.23,129,New
12921,37,9,16587.09,448.3,9526,VIP
12922,1,161,405.38,405.38,370,Inactive
12923,1,64,176.97,176.97,69,Inactive
12924,4,88,933.7,233.42,481,Inactive
12925,2,5,694.05,347.02,541,New
12928,5,35,2062.7,412.54,1472,Risk
12929,1,312,117.85,117.85,37,Inactive
12930,2,78,415.8,207.9,252,Inactive
12931,15,22,42055.96,2803.73,28004,Risk
12933,3,24,607.53,202.51,499,Inactive
12935,7,2,2160.7,308.67,1853,Loyal
12936,4,17,1063.9,265.98,559,New
12937,4,15,1504.27,376.07,1007,New
12938,1,26,114.14,114.14,140,Inactive
12939,8,64,11581.8,1447.72,4876,Risk
12940,2,55,913.54,456.77,411,Inactive
12942,3,131,683.9,227.97,203,Inactive
12944,2,36,604.51,302.26,289,Inactive
12945,1,288,462.95,462.95,165,Inactive
12947,6,144,1603.99,267.33,1165,Risk
12948,7,16,2064.95,294.99,1080,Loyal
12949,8,31,4167.22,520.9,2381,Risk
12950,3,2,1843.0,614.33,1380,New
12951,6,9,1064.07,177.35,503,Loyal
12952,4,6,1387.79,346.95,653,New
12953,1,10,329.85,329.85,84,New
12955,10,1,4740.16,474.02,3644,VIP
12956,1,306,108.07,108.07,34,Inactive
12957,8,10,4017.54,502.19,2549,VIP
12962,2,7,266.39,133.2,129,New
12963,8,8,1856.63,232.08,881,Loyal
12965,1,89,771.91,771.91,283,Inactive
12966,1,10,160.18,160.18,75,New
12967,2,358,1660.9,830.45,438,Inactive
12968,1,112,135.95,135.95,73,Inactive
12970,4,7,452.24,113.06,310,New
12971,85,4,10969.76,129.06,9252,Loyal
12974,1,198,144.8,144.8,24,Inactive
12976,1,212,738.6,738.6,561,Inactive
12977,1,156,39.24,39.24,12,Inactive
12980,9,158,7374.9,819.43,886,Risk
12981,2,30,372.22,186.11,242,Inactive
12982,1,243,390.54,390.54,288,Inactive
12984,1,19,97.5,97.5,26,Inactive
12985,2,1,1239.38,619.69,1533,New
12987,2,74,558.7,279.35,219,Inactive
12988,1,292,535.32,535.32,136,Inactive
12989,15,3,6924.11,461.61,2943,VIP
12990,3,31,409.5,136.5,200,Inactive
12991,2,23,503.76,251.88,405,Inactive
12993,4,23,414.76,103.69,240,Inactive
12994,3,4,974.42,324.81,459,New
12995,1,85,211.32,211.32,108,Inactive
12997,4,22,1226.89,306.72,664,Inactive
12999,3,196,455.88,151.96,342,Inactive
13000,3,107,534.85,178.28,379,Inactive
13001,13,4,9818.82,755.29,5505,VIP
13002,1,318,120.95,120.95,73,Inactive
13003,3,106,149.05,49.68,103,Inactive
13004,18,12,5655.91,314.22,4822,Loyal
13005,2,174,513.7,256.85,172,Inactive
13006,1,56,81.57,81.57,55,Inactive
13008,1,323,229.47,229.47,175,Inactive
13011,1,372,50.55,50.55,13,Inactive
13012,8,9,1661.84,207.73,824,Loyal
13013,13,1,4810.94,370.07,2224,Loyal
13014,10,11,3466.28,346.63,905,Loyal
13015,5,53,3346.28,669.26,1617,Risk
13016,3,73,789.89,263.3,527,Inactive
13017,1,7,204.0,204.0,48,New
13018,28,16,7277.7,259.92,5435,Loyal
13021,9,4,2616.38,290.71,1352,Loyal
13023,2,64,689.9,344.95,286,Inactive
13026,5,1,975.36,195.07,1620,Loyal
13027,6,114,6912.0,1152.0,17280,Risk
13028,2,23,661.32,330.66,798,Inactive
13029,3,31,1247.5,415.83,134,Inactive
13030,2,11,799.48,399.74,394,New
13032,2,52,1010.18,505.09,375,Inactive
13033,1,357,190.55,190.55,83,Inactive
13034,2,55,642.77,321.38,369,Inactive
13035,2,74,921.88,460.94,644,Inactive
13037,3,138,881.07,293.69,431,Inactive
13038,3,80,908.46,302.82,360,Inactive
13040,2,9,676.99,338.5,355,New
13043,1,273,516.42,516.42,254,Inactive
13044,1,291,560.47,560.47,429,Inactive
13045,1,99,305.28,305.28,221,Inactive
13046,2,31,629.31,314.65,264,Inactive
13047,10,32,3237.54,323.75,1391,Risk
13048,4,14,1835.91,458.98,1238,New
13049,2,64,656.68,328.34,268,Inactive
13050,17,15,5836.86,343.34,3748,Loyal
13052,1,212,348.15,348.15,222,Inactive
13055,3,78,1214.41,404.8,894,Inactive
13058,3,25,271.4,90.47,52,Inactive
13059,1,250,183.4,183.4,35,Inactive
13060,1,254,307.53,307.53,123,Inactive
13061,1,72,248.61,248.61,107,Inactive
13062,1,191,346.98,346.98,343,Inactive
13064,4,13,1119.49,279.87,516,New
13065,1,373,205.86,205.86,74,Inactive
13066,2,24,470.8,235.4,322,Inactive
13067,1,82,115.46,115.46,32,Inactive
13068,2,10,344.0,172.0,200,New
13069,23,1,4105.78,178.51,5671,Loyal
13070,1,192,228.8,228.8,110,Inactive
13072,1,267,177.15,177.15,69,Inactive
13075,1,130,919.61,919.61,485,Inactive
13077,4,1,729.27,182.32,863,New
13078,26,3,12627.94,485.69,5630,VIP
13079,5,4,220.1,44.02,62,Loyal
13080,1,179,58.08,58.08,120,Inactive
13081,11,12,28337.38,2576.13,19068,VIP
13082,9,126,3613.63,401.51,4324,Risk
13083,2,4,303.75,151.88,187,New
13085,2,158,416.08,208.04,216,Inactive
13089,96,3,58406.43,608.4,31058,VIP
13090,14,9,8910.82,636.49,2263,VIP
13091,1,28,345.82,345.82,466,Inactive
13092,5,71,477.83,95.57,279,Risk
13093,8,276,7832.47,979.06,3961,Risk
13094,11,21,1721.58,156.51,1554,Risk
13095,1,71,74.4,74.4,144,Inactive
13097,10,33,6010.42,601.04,2363,Risk
13098,28,1,28882.44,1031.52,15968,VIP
13099,1,99,207.36,207.36,288,Inactive
13101,1,234,101.19,101.19,113,Inactive
13102,24,1,6424.09,267.67,4204,Loyal
13103,1,40,243.94,243.94,82,Inactive
13104,6,3,1098.48,183.08,504,Loyal
13106,1,133,76.5,76.5,18,Inactive
13107,4,44,1531.62,382.9,1293,Inactive
13108,1,373,350.06,350.06,298,Inactive
13109,2,60,786.54,393.27,520,Inactive
13110,7,31,1488.67,212.67,388,Risk
13113,24,1,12245.96,510.25,3045,VIP
13115,4,12,2294.78,573.7,1567,New
13116,1,138,501.14,501.14,291,Inactive
13117,8,22,984.91,123.11,945,Risk
13118,5,20,1197.81,239.56,410,Risk
13120,1,239,30.6,30.6,12,Inactive
13121,1,269,283.73,283.73,252,Inactive
13122,2,94,922.39,461.2,585,Inactive
13124,3,90,3866.33,1288.78,2147,Inactive
13126,8,5,2099.64,262.46,2143,Loyal
13127,1,78,259.17,259.17,127,Inactive
13130,1,94,64.0,64.0,32,Inactive
13131,3,23,1073.3,357.77,447,Inactive
13132,1,262,77.3,77.3,20,Inactive
13133,2,274,109.8,54.9,32,Inactive
13134,4,86,1793.58,448.4,1059,Inactive
13135,1,197,3096.0,3096.0,4300,Inactive
13136,5,56,2607.61,521.52,1328,Risk
13137,8,11,3650.41,456.3,2226,VIP
13138,6,22,962.39,160.4,473,Risk
13139,7,16,5064.94,723.56,2425,VIP
13140,3,108,423.72,141.24,186,Inactive
13141,5,85,2388.75,477.75,1548,Risk
13142,1,19,307.09,307.09,258,Inactive
13144,1,333,110.95,110.95,21,Inactive
13145,4,40,618.52,154.63,145,Inactive
13146,1,26,228.91,228.91,154,Inactive
13147,4,10,712.8,178.2,144,New
13148,12,29,3707.12,308.93,1975,Risk
13149,4,14,1676.06,419.02,1280,New
13151,1,296,1257.87,1257.87,363,Inactive
13153,1,6,486.22,486.22,418,New
13155,4,33,971.76,242.94,497,Inactive
13157,4,49,1741.22,435.3,1439,Inactive
13158,4,95,1201.06,300.26,784,Inactive
13159,4,9,1437.85,359.46,1059,New
13160,1,22,91.8,91.8,56,Inactive
13161,1,313,112.75,112.75,29,Inactive
13162,4,122,1688.29,422.07,1713,Inactive
13165,2,46,1021.48,510.74,1376,Inactive
13166,1,283,417.2,417.2,216,Inactive
13167,4,19,791.33,197.83,785,Inactive
13168,4,36,1319.19,329.8,682,Inactive
13169,2,64,712.88,356.44,272,Inactive
13170,1,27,116.01,116.01,147,Inactive
