StockCode,Description,CompletedRevenue,TotalQuantitySold,TotalInvoices,TotalCustomers,AverageInvoiceValue
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,25035.37,9191,694,469,36.07
21175,GIN + TONIC DIET METAL SIGN,24958.38,11507,654,330,38.16
22699,ROSES REGENCY TEACUP AND SAUCER ,24707.8,9072,780,421,31.68
22629,SPACEBOY LUNCH BOX ,24647.79,13895,702,321,35.11
23355,HOT WATER BOTTLE KEEP CALM,24287.1,5306,717,474,33.87
22457,NATURAL SLATE HEART CHALKBOARD ,24210.12,8468,965,586,25.09
23201,JUMBO BAG ALPHABET,23755.42,12309,747,396,31.8
21915,RED  HARMONICA IN BOX ,23748.93,20939,558,348,42.56
48138,DOORMAT UNION FLAG,23598.69,3611,513,311,46.0
21181,PLEASE ONE PERSON METAL SIGN,23525.32,11747,690,361,34.09
22112,CHOCOLATE HOT WATER BOTTLE,23507.39,5133,698,381,33.68
22197,POPCORN HOLDER,23283.71,30731,631,295,36.9
85099C,JUMBO  BAG BAROQUE BLACK WHITE,23204.84,12533,646,305,35.92
22138,BAKING SET 9 PIECE RETROSPOT ,22963.0,4788,850,578,27.02
48187,DOORMAT NEW ENGLAND,22952.35,3719,530,313,43.31
23173,REGENCY TEAPOT ROSES ,22877.72,2642,353,248,64.81
22189,CREAM HEART CARD HOLDER,22715.57,8195,452,274,50.26
21623,VINTAGE UNION JACK MEMOBOARD,22709.13,3255,205,139,110.78
21733,RED HANGING HEART T-LIGHT HOLDER,22534.24,7724,677,385,33.29
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,22140.12,8088,593,279,37.34
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,22109.08,4658,383,274,57.73
21931,JUMBO STORAGE BAG SUKI,21238.15,11206,770,332,27.58
48185,DOORMAT FAIRY CAKE,21155.29,3425,239,141,88.52
22961,JAM MAKING SET PRINTED,20890.15,14835,864,537,24.18
22726,ALARM CLOCK BAKELIKE GREEN,20839.15,5630,787,321,26.48
22666,RECIPE BOX PANTRY YELLOW DESIGN,20806.17,7355,826,470,25.19
21621,VINTAGE UNION JACK BUNTING,20707.16,2510,388,266,53.37
23202,JUMBO BAG VINTAGE LEAF,20588.03,10506,770,376,26.74
85066,CREAM SWEETHEART MINI CHEST,20562.92,1705,445,289,46.21
22722,SET OF 6 SPICE TINS PANTRY DESIGN,20482.6,5360,650,391,31.51
22139,RETROSPOT TEA SET CERAMIC 11 PC ,20426.23,4239,820,487,24.91
22111,SCOTTIE DOG HOT WATER BOTTLE,20089.5,4256,655,425,30.67
22630,DOLLY GIRL LUNCH BOX,20082.64,11312,614,286,32.71
23203,JUMBO BAG VINTAGE DOILY ,20081.08,10306,618,361,32.49
21166,COOK WITH WINE METAL SIGN ,20070.05,10053,600,287,33.45
48194,DOORMAT HEARTS,19932.91,3269,479,285,41.61
15056N,EDWARDIAN PARASOL NATURAL,19870.66,3667,375,184,52.99
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,19762.53,10288,788,374,25.08
82482,WOODEN PICTURE FRAME WHITE FINISH,19660.85,8136,871,407,22.57
22659,LUNCH BOX I LOVE LONDON,19306.42,11070,502,212,38.46
21731,RED TOADSTOOL LED NIGHT LIGHT,19293.66,12438,518,266,37.25
21523,DOORMAT FANCY FONT HOME SWEET HOME,19125.22,3084,395,201,48.42
20713,JUMBO BAG OWLS,18995.02,10426,409,206,46.44
22090,PAPER BUNTING RETROSPOT,18607.29,6811,563,323,33.05
22728,ALARM CLOCK BAKELIKE PINK,18554.09,5070,612,291,30.32
21929,JUMBO BAG PINK VINTAGE PAISLEY,18209.9,9768,598,308,30.45
23206,LUNCH BAG APPLE DESIGN,18185.85,11509,861,399,21.12
20727,LUNCH BAG  BLACK SKULL.,17958.55,11251,1050,457,17.1
22697,GREEN REGENCY TEACUP AND SAUCER,17648.54,6370,688,385,25.65
22467,GUMBALL COAT RACK,17580.35,7688,570,262,30.84
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,17577.22,7901,304,191,57.82
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,17554.84,6464,455,226,38.58
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,17290.35,10064,191,159,90.53
20728,LUNCH BAG CARS BLUE,17216.18,10790,965,478,17.84
23344,JUMBO BAG 50'S CHRISTMAS ,17196.92,8694,581,389,29.6
82494L,WOODEN FRAME ANTIQUE WHITE ,17056.57,6060,807,391,21.14
22969,HOMEMADE JAM SCENTED CANDLES,16852.0,11564,515,427,32.72
23203,JUMBO BAG DOILEY PATTERNS,16739.18,8736,453,299,36.95
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,16570.29,5655,221,145,74.98
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,16551.88,5876,762,356,21.72
21843,RED RETROSPOT CAKE STAND,16358.95,1573,415,260,39.42
21212,PACK OF 72 RETROSPOT CAKE CASES,16341.73,33597,1025,632,15.94
22384,LUNCH BAG PINK POLKADOT,16333.0,10244,930,444,17.56
22865,HAND WARMER OWL DESIGN,16187.23,8091,570,375,28.4
15036,ASSORTED COLOURS SILK FAN,16024.52,21852,323,193,49.61
22492,MINI PAINT SET VINTAGE ,15991.79,26003,322,212,49.66
21485,RETROSPOT HEART HOT WATER BOTTLE,15871.73,3335,533,371,29.78
22382,LUNCH BAG SPACEBOY DESIGN ,15831.7,9882,985,488,16.07
21754,HOME BUILDING BLOCK WORD,15613.11,2651,690,360,22.63
22383,LUNCH BAG SUKI DESIGN ,15351.05,9581,897,398,17.11
22114,HOT WATER BOTTLE TEA AND SYMPATHY,15325.22,3712,513,325,29.87
85152,HAND OVER THE CHOCOLATE   SIGN ,15318.79,8020,589,270,26.01
15056BL,EDWARDIAN PARASOL BLACK,15182.97,2773,290,142,52.36
22385,JUMBO BAG SPACEBOY DESIGN,15132.52,8126,475,247,31.86
20712,JUMBO BAG WOODLAND ANIMALS,15105.1,7957,490,246,30.83
84946,ANTIQUE SILVER T-LIGHT GLASS,15100.1,12877,532,347,28.38
22077,6 RIBBONS RUSTIC CHARM,14948.99,8581,724,412,20.65
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,14910.2,13492,237,167,62.91
22624,IVORY KITCHEN SCALES,14754.33,1779,618,375,23.87
22698,PINK REGENCY TEACUP AND SAUCER,14611.69,5283,553,318,26.42
82483,WOOD 2 DRAWER CABINET WHITE FINISH,14471.67,2305,507,239,28.54
20726,LUNCH BAG WOODLAND,14421.61,9045,816,370,17.67
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,14255.47,7547,448,232,31.82
22993,SET OF 4 PANTRY JELLY MOULDS,14165.17,11780,865,430,16.38
84997D,CHILDRENS CUTLERY POLKADOT PINK,13796.6,3530,323,208,42.71
22835,HOT WATER BOTTLE I AM SO POORLY,13726.68,2944,503,316,27.29
22197,SMALL POPCORN HOLDER,13697.82,18118,399,226,34.33
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13572.04,54366,470,307,28.88
48184,DOORMAT ENGLISH ROSE ,13423.25,1969,353,224,38.03
84029E,RED WOOLLY HOTTIE WHITE HEART.,13396.51,3699,320,228,41.86
22084,PAPER CHAIN KIT EMPIRE,13367.3,4870,372,276,35.93
23356,LOVE HOT WATER BOTTLE,13115.4,2352,449,316,29.21
22847,BREAD BIN DINER STYLE IVORY,13047.14,842,337,213,38.72
23313,VINTAGE CHRISTMAS BUNTING,12994.77,2755,359,254,36.2
22622,BOX OF VINTAGE ALPHABET BLOCKS,12967.96,1289,228,173,56.88
23108,SET OF 10 LED DOLLY LIGHTS,12832.94,2157,348,271,36.88
82583,HOT BATHS METAL SIGN,12832.14,6415,385,206,33.33
23200,JUMBO BAG PEARS,12828.44,6613,469,261,27.35
84978,HANGING HEART JAR T-LIGHT HOLDER,12644.72,10956,571,304,22.14
22558,CLOTHES PEGS RETROSPOT PACK 24 ,12543.89,8417,638,362,19.66
84078A,SET/4 WHITE RETRO STORAGE CUBES ,12507.85,343,103,77,121.44
23301,GARDENERS KNEELING PAD KEEP CALM ,12423.88,7692,755,404,16.46
22507,MEMO BOARD RETROSPOT  DESIGN,12411.02,2786,348,230,35.66
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,12285.88,1722,303,172,40.55
22188,BLACK HEART CARD HOLDER,12261.9,4844,166,123,73.87
22866,HAND WARMER SCOTTY DOG DESIGN,12248.76,6118,471,329,26.01
20750,RED RETROSPOT MINI CASES,12200.9,1710,364,234,33.52
22113,GREY HEART HOT WATER BOTTLE,12176.15,3152,510,337,23.87
22941,CHRISTMAS LIGHTS 10 REINDEER,12150.0,1572,253,205,48.02
22551,PLASTERS IN TIN SPACEBOY,12092.4,7628,576,336,20.99
20749,ASSORTED COLOUR MINI CASES,12091.61,1715,363,238,33.31
21524,DOORMAT SPOTTY HOME SWEET HOME,12063.27,1658,403,249,29.93
22867,HAND WARMER BIRD DESIGN,12056.23,5989,473,332,25.49
22083,PAPER CHAIN KIT RETROSPOT,12043.21,4307,444,294,27.12
23207,LUNCH BAG ALPHABET DESIGN,11977.91,7523,643,376,18.63
22379,RECYCLING BAG RETROSPOT ,11942.43,6088,407,187,29.34
DOT,DOTCOM POSTAGE,11906.36,16,16,1,744.15
22625,RED KITCHEN SCALES,11861.73,1472,446,291,26.6
22568,FELTCRAFT CUSHION OWL,11783.05,3284,417,244,28.26
22273,FELTCRAFT DOLL MOLLY,11762.99,4469,293,211,40.15
22752,SET 7 BABUSHKA NESTING BOXES,11747.29,1534,295,186,39.82
47590B,PINK HAPPY BIRTHDAY BUNTING,11671.8,2284,358,237,32.6
23077,DOUGHNUT LIP GLOSS ,11615.7,9642,307,216,37.84
22607,WOODEN ROUNDERS GARDEN SET ,11601.14,1269,303,224,38.29
22554,PLASTERS IN TIN WOODLAND ANIMALS,11597.83,7283,585,350,19.83
21977,PACK OF 60 PINK PAISLEY CAKE CASES,11563.7,24144,664,408,17.42
20971,PINK BLUE FELT CRAFT TRINKET BOX,11554.39,10165,455,275,25.39
22149,FELTCRAFT 6 FLOWER FRIENDS,11553.79,5884,460,336,25.12
22191,IVORY DINER WALL CLOCK,11553.2,1422,389,237,29.7
48188,DOORMAT WELCOME PUPPIES,11528.3,2026,251,162,45.93
22427,ENAMEL FLOWER JUG CREAM,11427.08,1992,440,310,25.97
21755,LOVE BUILDING BLOCK WORD,11419.61,1925,553,335,20.65
23174,REGENCY SUGAR BOWL GREEN,11391.39,2907,266,190,42.82
82486,WOOD S/3 CABINET ANT WHITE FINISH,11341.2,1364,370,183,30.65
22193,RED DINER WALL CLOCK,10948.59,1336,413,204,26.51
21930,JUMBO STORAGE BAG SKULLS,10890.79,5706,471,220,23.12
21232,STRAWBERRY CERAMIC TRINKET BOX,10835.52,9280,504,294,21.5
22501,PICNIC BASKET WICKER LARGE,10818.9,1194,257,187,42.1
22570,FELTCRAFT CUSHION RABBIT,10694.81,3018,324,202,33.01
22413,METAL SIGN TAKE IT OR LEAVE IT ,10594.2,3672,348,227,30.44
21790,VINTAGE SNAP CARDS,10395.58,13264,721,448,14.42
22662,LUNCH BAG DOLLY GIRL DESIGN,10344.19,6535,597,309,17.33
23209,LUNCH BAG VINTAGE DOILY ,10337.76,6432,537,318,19.25
23209,LUNCH BAG DOILEY PATTERN ,10329.65,6481,463,290,22.31
21936,RED RETROSPOT PICNIC BAG,10294.96,3732,383,223,26.88
22730,ALARM CLOCK BAKELIKE IVORY,10259.36,2721,466,241,22.02
47566B,TEA TIME PARTY BUNTING,10257.75,2241,312,191,32.88
85014B,RED RETROSPOT UMBRELLA,10247.47,1846,303,210,33.82
21479,WHITE SKULL HOT WATER BOTTLE ,10227.72,2702,378,252,27.06
22617,BAKING SET SPACEBOY DESIGN,10196.04,2150,423,296,24.1
22087,PAPER BUNTING WHITE LACE,10181.45,3751,255,155,39.93
23170,REGENCY TEA PLATE ROSES ,10121.19,6527,327,224,30.95
47590A,BLUE HAPPY BIRTHDAY BUNTING,10091.17,1947,354,227,28.51
22988,SOLDIERS EGG CUP ,10075.22,8761,325,196,31.0
20724,RED RETROSPOT CHARLOTTE BAG,10053.85,12709,738,335,13.62
23208,LUNCH BAG VINTAGE LEAF DESIGN,9989.95,6215,596,305,16.76
21891,TRADITIONAL WOODEN SKIPPING ROPE,9984.67,7895,338,263,29.54
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,9979.51,910,257,177,38.83
23300,GARDENERS KNEELING PAD CUP OF TEA ,9963.39,6303,635,351,15.69
22499,WOODEN UNION JACK BUNTING,9857.43,1722,295,216,33.42
84997C,CHILDRENS CUTLERY POLKADOT BLUE,9831.4,2524,211,150,46.59
48173C,DOORMAT BLACK FLOCK ,9822.2,1787,173,105,56.78
22569,FELTCRAFT CUSHION BUTTERFLY,9655.48,2698,294,192,32.84
22970,LONDON BUS COFFEE MUG,9651.0,4240,275,179,35.09
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,9646.59,12301,731,426,13.2
23076,ICE CREAM SUNDAE LIP GLOSS,9638.16,7896,247,202,39.02
22690,DOORMAT HOME SWEET HOME BLUE ,9604.09,1593,259,197,37.08
84997B,CHILDRENS CUTLERY RETROSPOT RED ,9603.68,2492,229,157,41.94
22556,PLASTERS IN TIN CIRCUS PARADE ,9577.16,5940,520,304,18.42
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,9576.91,15579,527,316,18.17
82600,NO SINGING METAL SIGN,9573.6,4636,384,207,24.93
22846,BREAD BIN DINER STYLE RED ,9563.41,624,247,157,38.72
22605,WOODEN CROQUET GARDEN SET,9555.98,709,240,181,39.82
22633,HAND WARMER UNION JACK,9525.36,4734,440,300,21.65
22692,DOORMAT WELCOME TO OUR HOME,9452.18,1376,337,230,28.05
22555,PLASTERS IN TIN STRONGMAN,9422.69,5861,447,293,21.08
22766,PHOTO FRAME CORNICE,9365.78,3206,454,278,20.63
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,9358.8,1264,213,169,43.94
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,9339.34,8273,278,177,33.59
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,9327.96,2676,317,185,29.43
22560,TRADITIONAL MODELLING CLAY,9311.47,8014,336,229,27.71
23343,JUMBO BAG VINTAGE CHRISTMAS ,9307.14,4668,382,283,24.36
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9295.17,2461,318,211,29.23
23240,SET OF 4 KNICK KNACK TINS DOILY ,9270.5,2294,312,230,29.71
22621,TRADITIONAL KNITTING NANCY,9237.87,5847,508,366,18.18
21914,BLUE HARMONICA IN BOX ,9207.63,7422,516,306,17.84
21217,RED RETROSPOT ROUND CAKE TINS,9188.25,975,257,167,35.75
23171,REGENCY TEA PLATE GREEN ,9115.3,5918,269,195,33.89
21481,FAWN BLUE HOT WATER BOTTLE,9111.75,2885,377,252,24.17
22978,PANTRY ROLLING PIN,9080.42,2377,195,153,46.57
22561,WOODEN SCHOOL COLOURING SET,9071.22,5694,394,288,23.02
20679,EDWARDIAN PARASOL RED,9020.17,1624,269,141,33.53
23175,REGENCY MILK JUG PINK ,8876.0,3018,271,206,32.75
22992,REVOLVER WOODEN RULER ,8844.99,4863,280,213,31.59
22838,3 TIER CAKE TIN RED AND CREAM,8722.83,651,135,115,64.61
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,8719.34,3710,425,233,20.52
84375,SET OF 20 KIDS COOKIE CUTTERS,8646.87,4125,414,289,20.89
22966,GINGERBREAD MAN COOKIE CUTTER,8625.13,7204,554,388,15.57
22619,SET OF 6 SOLDIER SKITTLES,8582.5,2293,338,249,25.39
84991,60 TEATIME FAIRY CAKE CASES,8565.57,17593,653,411,13.12
20972,PINK CREAM FELT CRAFT TRINKET BOX ,8558.49,7059,532,309,16.09
82582,AREA PATROLLED METAL SIGN,8552.22,4290,374,176,22.87
22632,HAND WARMER RED RETROSPOT,8526.12,4274,341,258,25.0
22424,ENAMEL BREAD BIN CREAM,8519.0,713,326,189,26.13
21791,VINTAGE HEADS AND TAILS CARD GAME ,8516.41,7131,484,341,17.6
22041,"RECORD FRAME 7"" SINGLE SIZE ",8450.82,3812,196,73,43.12
85150,LADIES & GENTLEMEN METAL SIGN,8440.47,3749,365,196,23.12
21174,POTTERING IN THE SHED METAL SIGN,8372.7,3926,371,225,22.57
22776,SWEETHEART CAKESTAND 3 TIER,8356.7,890,325,251,25.71
22169,FAMILY ALBUM WHITE PICTURE FRAME,8355.44,1067,285,165,29.32
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",8354.87,1841,241,150,34.67
23582,VINTAGE DOILY JUMBO BAG RED ,8314.66,4327,232,185,35.84
22147,FELTCRAFT BUTTERFLY HEARTS,8313.1,6126,435,287,19.11
23581,JUMBO BAG PAISLEY PARK,8308.64,4253,300,229,27.7
22989,SET 2 PANTRY DESIGN TEA TOWELS,8284.17,2685,309,239,26.81
22759,SET OF 3 NOTEBOOKS IN PARCEL,8283.75,5207,319,253,25.97
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,8238.85,10243,304,207,27.1
22791,T-LIGHT GLASS FLUTED ANTIQUE,8226.25,7192,258,184,31.88
22158,3 HEARTS HANGING DECORATION RUSTIC,8161.21,2895,261,196,31.27
71459,HANGING JAM JAR T-LIGHT HOLDER,8153.92,10516,309,192,26.39
23082,SET 6 PAPER TABLE LANTERN HEARTS ,8129.43,2265,263,205,30.91
23322,LARGE WHITE HEART OF WICKER,8082.7,2868,510,350,15.85
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8071.51,2223,401,275,20.13
48116,DOORMAT MULTICOLOUR STRIPE,8053.22,1419,141,88,57.12
23078,ICE CREAM PEN LIP GLOSS ,8017.31,6559,211,158,38.0
23318,BOX OF 6 MINI VINTAGE CRACKERS,8011.29,3495,324,267,24.73
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,7982.47,2819,326,276,24.49
23319,BOX OF 6 MINI 50'S CRACKERS,7972.29,3425,361,298,22.08
23080,RED METAL BOX TOP SECRET,7962.03,1003,221,148,36.03
22667,RECIPE BOX RETROSPOT ,7952.9,2870,441,233,18.03
22729,ALARM CLOCK BAKELIKE ORANGE,7946.88,2169,356,178,22.32
23256,CHILDRENS CUTLERY SPACEBOY ,7920.43,1969,312,224,25.39
21210,SET OF 72 RETROSPOT PAPER  DOILIES,7911.12,5655,362,242,21.85
22655,VINTAGE RED KITCHEN CABINET,7875.0,58,37,33,212.84
72741,GRAND CHOCOLATECANDLE,7785.05,5801,249,195,31.27
22652,TRAVEL SEWING KIT,7769.21,4853,392,261,19.82
21121,SET/10 RED POLKADOT PARTY CANDLES,7739.18,6454,334,237,23.17
22940,FELTCRAFT CHRISTMAS FAIRY,7722.68,1896,302,240,25.57
84378,SET OF 3 HEART COOKIE CUTTERS,7711.84,5995,520,376,14.83
20711,JUMBO BAG TOYS ,7689.28,4198,245,152,31.38
35970,ZINC FOLKART SLEIGH BELLS,7665.11,4647,339,270,22.61
23439,HAND WARMER RED LOVE HEART,7660.2,3762,371,268,20.65
22768,FAMILY PHOTO FRAME CORNICE,7646.84,837,233,184,32.82
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,7510.29,2067,281,195,26.73
21136,PAINTED METAL PEARS ASSORTED,7477.88,4468,351,258,21.3
22502,PICNIC BASKET WICKER SMALL,7425.9,1363,230,174,32.29
21314,SMALL GLASS HEART TRINKET POT,7412.56,3670,342,215,21.67
22192,BLUE DINER WALL CLOCK,7403.13,891,335,177,22.1
22952,60 CAKE CASES VINTAGE CHRISTMAS,7303.85,14471,464,341,15.74
21770,OPEN CLOSED METAL SIGN,7281.66,1571,340,263,21.42
22557,PLASTERS IN TIN VINTAGE PAISLEY ,7267.49,4525,477,314,15.24
22616,PACK OF 12 LONDON TISSUES ,7259.75,25321,381,194,19.05
20719,WOODLAND CHARLOTTE BAG,7243.24,9197,529,236,13.69
22900, SET 2 TEA TOWELS I LOVE LONDON ,7191.25,2621,191,130,37.65
21889,WOODEN BOX OF DOMINOES,7185.95,5754,448,336,16.04
23238,SET OF 4 KNICK KNACK TINS LONDON ,7170.6,1788,233,150,30.78
22750,FELTCRAFT PRINCESS LOLA DOLL,7166.94,1964,378,247,18.96
21908,CHOCOLATE THIS WAY METAL SIGN,7158.12,3611,372,219,19.24
84949,SILVER HANGING T-LIGHT HOLDER,7143.75,4635,248,163,28.81
23240,SET OF 4 KNICK KNACK TINS DOILEY ,7132.7,1802,171,142,41.71
84836,ZINC METAL HEART DECORATION,7108.68,5757,476,311,14.93
22144,CHRISTMAS CRAFT LITTLE FRIENDS,7102.9,3456,420,319,16.91
22585,PACK OF 6 BIRDY GIFT TAGS,7088.45,6013,315,237,22.5
21218,RED SPOTTY BISCUIT TIN,7071.2,2058,203,130,34.83
22355,CHARLOTTE BAG SUKI DESIGN,7066.65,8875,584,249,12.1
23007, SPACEBOY BABY GIFT SET,7065.5,450,142,110,49.76
84406B,CREAM CUPID HEARTS COAT HANGER,7025.78,1894,240,132,29.27
22795,SWEETHEART RECIPE BOOK STAND,7017.15,1089,286,170,24.54
22741,FUNKY DIVA PEN,6970.14,8280,154,107,45.26
23215,JINGLE BELL HEART ANTIQUE SILVER,6962.04,3547,197,162,35.34
22767,TRIPLE PHOTO FRAME CORNICE ,6932.83,761,208,152,33.33
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6908.17,5741,320,167,21.59
21213,PACK OF 72 SKULL CAKE CASES,6832.91,14261,498,295,13.72
23321,SMALL WHITE HEART OF WICKER,6832.83,4283,582,378,11.74
84970S,HANGING HEART ZINC T-LIGHT HOLDER,6830.59,8470,412,271,16.58
23320,GIANT 50'S CHRISTMAS CRACKER,6822.07,2599,307,259,22.22
21035,SET/2 RED RETROSPOT TEA TOWELS ,6820.01,2319,219,151,31.14
21231,SWEETHEART CERAMIC TRINKET BOX,6800.86,5697,377,212,18.04
22456,NATURAL SLATE CHALKBOARD LARGE ,6788.65,1443,301,219,22.55
22991,GIRAFFE WOODEN RULER,6785.64,3692,232,184,29.25
21169,YOU'RE CONFUSING ME METAL SIGN ,6762.57,4281,342,191,19.77
23493,VINTAGE DOILY TRAVEL SEWING KIT,6747.9,3522,349,282,19.33
22487,WHITE WOOD GARDEN PLANT LADDER,6744.81,720,378,278,17.84
22333,RETROSPOT PARTY BAG + STICKER SET,6736.03,4383,266,167,25.32
20969,RED FLORAL FELTCRAFT SHOULDER BAG,6734.31,1876,257,157,26.2
22844,VINTAGE CREAM DOG FOOD CONTAINER,6702.85,817,289,175,23.19
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6702.49,2847,323,184,20.75
48111,DOORMAT 3 SMILEY CATS,6699.35,1105,173,110,38.72
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,6687.65,5268,495,325,13.51
22634,CHILDS BREAKFAST SET SPACEBOY ,6681.85,731,203,155,32.92
23297,SET 40 HEART SHAPE PETIT FOUR CASES,6673.7,4258,139,123,48.01
22294,HEART FILIGREE DOVE  SMALL,6671.07,5439,246,162,27.12
21787,RAIN PONCHO RETROSPOT,6658.63,8395,179,115,37.2
C2,CARRIAGE,6636.0,133,132,29,50.27
21955,DOORMAT UNION JACK GUNS AND ROSES,6635.61,1159,155,108,42.81
22950,36 DOILIES VINTAGE CHRISTMAS,6611.45,4841,158,150,41.84
84997A,CHILDRENS CUTLERY POLKADOT GREEN ,6599.06,1688,166,114,39.75
22840,ROUND CAKE TIN VINTAGE RED,6584.83,889,249,192,26.45
22627,MINT KITCHEN SCALES,6582.79,790,303,193,21.73
23083,SET 6 PAPER TABLE LANTERN STARS ,6581.71,1812,208,160,31.64
23008,DOLLY GIRL BABY GIFT SET,6567.95,421,120,99,54.73
22725,ALARM CLOCK BAKELIKE CHOCOLATE,6551.76,1770,321,171,20.41
22968,ROSE COTTAGE KEEPSAKE BOX ,6545.1,726,142,117,46.09
22367,CHILDRENS APRON SPACEBOY DESIGN,6525.69,3519,446,297,14.63
23254,CHILDRENS CUTLERY DOLLY GIRL ,6500.65,1615,264,196,24.62
22553,PLASTERS IN TIN SKULLS,6486.0,4024,438,280,14.81
23293,SET OF 12 FAIRY CAKE BAKING CASES,6454.51,8225,462,321,13.97
21259,VICTORIAN SEWING BOX SMALL ,6432.11,1128,237,133,27.14
23134,LARGE ZINC HEART WALL ORGANISER,6414.48,1064,37,29,173.36
21165,BEWARE OF THE CAT METAL SIGN ,6405.31,4027,359,178,17.84
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,6371.4,1022,224,142,28.44
85014A,BLACK/BLUE POLKADOT UMBRELLA,6367.94,1133,256,183,24.87
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,6361.42,7894,486,366,13.09
22637,PIGGY BANK RETROSPOT ,6308.57,2619,262,188,24.08
22505,MEMO BOARD COTTAGE DESIGN,6306.19,1365,262,186,24.07
21533,RETROSPOT LARGE MILK JUG,6267.15,1317,310,209,20.22
21122,SET/10 PINK POLKADOT PARTY CANDLES,6263.58,5185,301,212,20.81
23553,LANDMARK FRAME CAMDEN TOWN ,6257.35,558,62,50,100.93
21669,BLUE STRIPE CERAMIC DRAWER KNOB,6249.45,4945,349,165,17.91
84992,72 SWEETHEART FAIRY CAKE CASES,6248.5,13022,499,325,12.52
22381,TOY TIDY PINK POLKADOT,6208.58,3159,288,133,21.56
21668,RED STRIPE CERAMIC DRAWER KNOB,6206.63,5023,332,168,18.69
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,6185.29,2119,336,209,18.41
23480,MINI LIGHTS WOODLAND MUSHROOMS,6126.09,1719,173,143,35.41
23229,VINTAGE DONKEY TAIL GAME ,6120.64,1743,213,181,28.74
